INFO:root:+ ----------------------------------------------------------------- +
INFO:root:Question: what does jamaican people speak
INFO:root:Topic Entity: m.03_r3
INFO:root:True Path: location.country.languages_spoken
INFO:root:True answer: ['m.01428y', 'm.04ygk0'],  Labels: ['Jamaican English', 'Jamaican Patois']
INFO:root:	 At depth: 1
INFO:root:		Topic entity: m.03_r3
INFO:root:		Relation scoring by LLM: [{'entity': 'm.03_r3', 'relation': 'location.country.official_language', 'score': 0.5, 'head': True}, {'entity': 'm.03_r3', 'relation': 'location.country.languages_spoken', 'score': 0.3, 'head': True}, {'entity': 'm.03_r3', 'relation': 'common.topic.notable_types', 'score': 0.2, 'head': True}]
INFO:root:		Relation Path of : {'entity': 'm.03_r3', 'relation': 'location.country.official_language', 'score': 0.5, 'head': True}
INFO:root:			From embedding Space: 
INFO:root:				Entity_candidates: [('m.01428y', 0.5), ('m.06b1q', 0.09519410878419876), ('m.04ygk0', 0.07770198583602905), ('m.07l8x', 0.029764391481876373), ('m.0653m', 0.02250637114048004)]
INFO:root:			"Removing unNamed entities from list 
INFO:root:				"Entity Candidates: ['m.01428y', 'm.06b1q', 'm.04ygk0', 'm.07l8x', 'm.0653m'] and Scores: [0.5, 0.09519410878419876, 0.07770198583602905, 0.029764391481876373, 0.02250637114048004]
INFO:root:				"Deleted Candidates: [] and Scores: []
INFO:root:		Relation Path of : {'entity': 'm.03_r3', 'relation': 'location.country.languages_spoken', 'score': 0.3, 'head': True}
INFO:root:			From embedding Space: 
INFO:root:				Entity_candidates: [('m.04ygk0', 0.18535548448562622), ('m.02h40lc', 0.023078039288520813), ('m.01428y', 0.022050241380929946), ('m.01g27f', 0.00727921687066555), ('m.05zjd', 0.003302050475031137)]
INFO:root:			"Removing unNamed entities from list 
INFO:root:				"Entity Candidates: ['m.04ygk0', 'm.02h40lc', 'm.01428y', 'm.01g27f', 'm.05zjd'] and Scores: [0.18535548448562622, 0.023078039288520813, 0.022050241380929946, 0.00727921687066555, 0.003302050475031137]
INFO:root:				"Deleted Candidates: [] and Scores: []
